ID,Genus,Species,Sex,Place,Date,IT,Weigth..g.,Head.weight..g.,Plant,Brain.Weight..mg.,No.optic.lobes.weight,Country,Notes
A1,Bombus,Bombus pratorum,Female,El valle. Sierra de Cazorla,17/6/15,3.635,0.1186,0.01,Digitalis obscura,2.06,1.057,Spain,
A10,Xylocopa,NA,Female,Empalme del parador. Sierra de Cazorla,17/6/15,NA,0.5048,NA,NA,NA,NA,Spain,
A11,Bombus,Bombus pascuorum,Female,El valle. Sierra de Cazorla,16/6/15,3.943,0.1704,0.0195,Digitalis obscura,3.15,NA,Spain,
A12,Osmia,Osmia lateralis,Female,Puerto de las palomas. Sierra de Cazorla,17/6/15,2.622,0.0374,0.0095,,1.73,0.965,Spain,
A13,Bombus,Bombus pascuorum,Female,Roblehondo. Sierra de Cazorla,16/6/15,3.834,0.1461,0.0199,Digitalis obscura,2.89,1.899,Spain,
A14,Bombus,Bombus terrestris,Female,Cerrada del Utrero. Sierra de Cazorla,16/6/15,4.68,0.193,0.0221,Thymus mastichina,2.17,1.311,Spain,
A15,Bombus,Bombus pascuorum,Female,Puente de las herrerías. Sierra de Cazorla,16/6/15,4.105,0.188,0.0213,Phlomis lychnitis,3.11,1.237,Spain,
A16,Bombus,Bombus pascuorum,Female,Empalme del parador. Sierra de Cazorla,17/6/15,3.748,0.145,0.0165,Digitalis obscura,2.44,1.433,Spain,
A17,Andrena,Andrena flavipes,Male,Nava de San Pedro. Sierra de Cazorla,16/6/15,2.689,0.0609,0.0096,Berberis,1.43,0.663,Spain,
A18,Bombus,Bombus pratorum,Male,Roblehondo. Sierra de Cazorla,16/6/15,3.604,0.1029,0.0115,NA,2.5,1.171,Spain,
A19,Bombus,Bombus terrestris,Female,Empalme del parador. Sierra de Cazorla,17/6/15,4.126,0.1664,NA,NA,2.94,1.661,Spain,
A2,Bombus,Bombus pascuorum,Female,Roblehondo. Sierra de Cazorla,16/6/15,3.393,0.1041,0.0104,Digitalis obscura,NA,NA,Spain,
A20,Bombus,Bombus pratorum,Female,Nava de San Pedro. Sierra de Cazorla,16/6/15,3.576,0.1036,0.0107,Marribium supinum,2.16,1.723,Spain,
A21,Bombus,Bombus pratorum,Male,El valle. Sierra de Cazorla,16/6/15,3.646,0.0792,0.0062,Digitalis obscura,1.79,0.974,Spain,
A22,Bombus,Bombus terrestris,Female,Camino del Parador. Sierra de Cazorla,16/6/15,4.45,0.1725,0.0171,Digitalis obscura,3.16,NA,Spain,
A23,Apis,Apis mellifera,Female,Puerto de las palomas. Sierra de Cazorla,17/6/15,3.505,0.1027,0.0116,Thymus mastichina,NA,0.924,Spain,
A24,Bombus,Bombus pascuorum,Female,Empalme del parador. Sierra de Cazorla,17/6/15,3.698,0.1424,0.0167,Digitalis obscura,NA,NA,Spain,
A25,Bombus,Bombus terrestris,Female,Cerrada del Utrero. Sierra de Cazorla,16/6/15,4.468,0.1981,0.0187,Thymus mastichina,2.75,1.613,Spain,
A26,Bombus,Bombus pascuorum,Female,Puente de las herrerías. Sierra de Cazorla,16/6/15,4.012,0.1463,0.0157,NA,2.15,1.304,Spain,
A27,Panurgus,Panurgus calcaratus,Male,Nava de San Pedro. Sierra de Cazorla,16/6/15,1.422,0.0127,0.0027,Compuesta amarilla I,NA,NA,Spain,
A28,Panurgus,Panurgus calcaratus,Male,Cazorla,16/6/15,1.455,0.0114,0.0032,NA,NA,NA,Spain,
A29,Bombus,Bombus pratorum,Male,Cazorla,16/6/15,3.853,0.1065,0.0129,NA,2.36,0.961,Spain,
A3,Bombus,Bombus terrestris,Female,Roblehondo. Sierra de Cazorla,16/6/15,4.289,0.1677,0.0136,Digitalis obscura,2.72,1.621,Spain,
A30,Bombus,Bombus lucorum,Male,Cazorla,16/6/15,4.861,0.1831,NA,NA,2.4,1.159,Spain,
A31,Bombus,Bombus terrestris,Male,Puente de las herrerías. Sierra de Cazorla,16/6/15,4.641,0.1566,0.0166,Thymus mastichina,2.71,1.514,Spain,
A32,Xylocopa,Xylocopa cantabrita,Female,Puerto de las palomas. Sierra de Cazorla,16/6/15,4.999,0.2286,NA,Anthirrium latifolium,4.2,1.303,Spain,
A33,Xylocopa,Xylocopa valga,Female,Empalme del parador. Sierra de Cazorla,16/6/15,6.455,0.4849,0.075,NA,7.43,2.113,Spain,
A34,Eucera,NA,Female,Cerrada del Utrero. Sierra de Cazorla,16/6/15,NA,NA,NA,Cichorium intybus,NA,NA,Spain,
A35,Rhodanthidium,Rhodanthidium sticticum,Female,Puerto de las palomas. Sierra de Cazorla,16/6/15,3.695,0.1189,0.0197,Flomis lignitis,NA,NA,Spain,
A36,Eucera,Eucera elongatula,Female,Puerto de las palomas. Sierra de Cazorla,17/6/15,2.761,0.0399,0.006,Digitalis obscura,1.23,0.6,Spain,
A37,Eucera,Eucera elongatula,Female,Puerto de las palomas. Sierra de Cazorla,17/6/15,2.546,0.0433,0.004,Digitalis obscura,NA,NA,Spain,
A38,Rhodanthidium,Rhodanthidium sticticum,Male,Puerto de las palomas. Sierra de Cazorla,17/6/15,3.823,0.1333,0.0164,Digitalis obscura,3.42,0.95,Spain,
A39,Lithurgus,Lithurgus sp.,Female,Roblehondo. Sierra de Cazorla,,NA,NA,NA,,1.758,0.905,Spain,
A4,Bombus,Bombus pratorum,Male,El valle. Sierra de Cazorla,17/6/15,3.714,0.105,0.0119,Digitalis obscura,1.89,0.984,Spain,
A5,Bombus,Bombus pascuorum,Female,Puente de las herrerías. Sierra de Cazorla,17/6/15,4.329,0.178,0.0222,Phlomis lychnitis,2.52,1.485,Spain,
A6,Bombus,Bombus pratorum,Male,El valle. Sierra de Cazorla,17/6/15,3.714,0.0934,0.0112,Digitalis obscura,1.68,0.721,Spain,
A7,Bombus,Bombus terrestris,Female,Roblehondo. Sierra de Cazorla,16/6/15,4.032,0.1233,0.0149,Digitalis obscura,2.6,1.43,Spain,
A8,Bombus,Bombus terrestris,Female,Empalme del parador. Sierra de Cazorla,17/6/15,4.299,0.1665,0.0182,Digitalis obscura,2.95,1.622,Spain,
A9,Bombus,Bombus pratorum,Male,Roblehondo. Sierra de Cazorla,16/6/15,3.829,0.0966,0.0112,Digitalis obscura,1.84,0.964,Spain,
B1,Apis,Apis mellifera,Female,Bonares,21/4/2016,3.105,NA,NA,Cistus salvifolius,1.77,1.076,Spain,
B10,Andrena,Andrena flavipes,Female,Huelva,21/4/2016,3.042,NA,NA,NA,NA,NA,Spain,
B11,Panurgus,NA,Male,Huelva,21/4/2016,1.879,NA,NA,NA,NA,NA,Spain,
B12,Panurgus,NA,Male,Huelva,21/4/2016,1.722,NA,NA,NA,0.44,NA,Spain,
B13,Nomada,Nomada succincta,Female,Huelva,21/4/2016,2.057,NA,NA,NA,1.34,NA,Spain,
B14,Dasypoda,Dasypoda cingulata,Male,Huelva,21/4/2016,3.023,NA,NA,NA,1.94,0.88,Spain,
B15,Eucera,NA,Male,Huelva,21/4/2016,3.148,NA,NA,NA,1.95,0.917,Spain,
B16,Eucera,NA,Male,Huelva,21/4/2016,3.42,NA,NA,NA,2.13,0.463,Spain,
B17,Andrena,Andrena hispania,Female,Huelva,21/4/2016,3.016,NA,NA,NA,1.82,NA,Spain,
B18,Dasypoda,Dasypoda cingulata,Male,Huelva,29/4/2016,2.699,0.0372,0.0055,NA,1.05,0.44,Spain,
B19,Panurgus,Panurgus calcaratus,Female,Huelva,29/4/2016,1.404,0.01,0.0023,NA,0.47,0.135,Spain,
B2,Andrena,NA,Male,Huelva,21/4/2016,2.409,NA,NA,NA,0.9,0.428,Spain,
B20,Panurgus,Panurgus calcaratus,Female,Huelva,29/4/2016,1.337,0.0108,0.0018,NA,0.43,0.137,Spain,
B21,Panurgus,Panurgus calcaratus,Male,Huelva,29/4/2016,1.952,0.0123,0.0033,NA,NA,NA,Spain,
B22,Rhodanthidium,Rhodanthidium sticticum,Female,Huelva,29/4/2016,3.272,0.0899,0.00117,NA,2.55,0.94,Spain,
B23,Panurgus,Panurgus calcaratus,Male,Huelva,29/4/2016,1.963,0.0155,0.0038,NA,0.53,0.26,Spain,
B24,Panurgus,Panurgus calcaratus,Male,Huelva,29/4/2016,1.454,0.0088,0.0023,NA,NA,NA,Spain,
B25,Panurgus,Panurgus calcaratus,Male,Huelva,29/4/2016,1.573,0.0102,0.0024,NA,0.55,0.309,Spain,
B26,Hoplitis,Hoplitis papaveris,Female,Huelva,29/4/2016,2.213,0.027,0.0062,NA,1.1,0.665,Spain,
B27,Xylocopa,Xylocopa cantabrita,Male,Huelva,29/4/2016,5.198,0.3302,0.0465,NA,5.09,1.45,Spain,
B28,Hoplitis,Hoplitis papaveris,Male,Huelva,29/4/2016,2.26,0.024,0.0051,NA,0.59,NA,Spain,
B29,Dasypoda,Dasypoda cingulata,Male,Huelva,29/4/2016,2.739,0.0466,0.006,NA,1.33,0.673,Spain,
B3,Andrena,NA,Male,Huelva,21/4/2016,2.31,NA,NA,NA,0.88,0.428,Spain,
B30,Panurgus,Panurgus calcaratus,Male,Huelva,29/4/2016,1.831,0.0184,0.0031,NA,0.53,NA,Spain,
B31,Panurgus,Panurgus calcaratus,Male,Huelva,29/4/2016,1.729,0.0162,0.0038,NA,NA,NA,Spain,
B32,Panurgus,Panurgus calcaratus,Male,Huelva,29/4/2016,1.822,0.0193,0.003,NA,0.69,0.316,Spain,
B33,Panurgus,Panurgus calcaratus,Male,Huelva,29/4/2016,1.733,0.0115,0.001,NA,0.48,NA,Spain,
B34,Panurgus,Panurgus calcaratus,Female,Huelva,29/4/2016,1.508,0.011,0.002,NA,0.56,0.163,Spain,
B35,Nomada,Nomada dusmeti,Female,Huelva,29/4/2016,1.698,0.0208,0.0023,NA,NA,NA,Spain,
B36,Nomada,Nomada dusmeti,Female,Huelva,29/4/2016,1.574,0.0128,0.0021,NA,NA,0.292,Spain,
B37,Dasypoda,Dasypoda crassicornis,Male,Huelva,29/4/2016,2.588,0.0419,0.0042,NA,1.07,0.448,Spain,
B38,Andrena,NA,Female,Huelva,29/4/2016,1.926,0.019,0.0023,NA,0.79,0.341,Spain,
B39,Andrena,NA,Female,Huelva,29/4/2016,1.816,0.0241,0.0038,NA,1.04,0.342,Spain,
B4,Andrena,NA,Male,Huelva,21/4/2016,2.326,NA,NA,NA,0.87,0.423,Spain,
B40,Dasypoda,Dasypoda iberica,Male,Huelva,29/4/2016,2.453,0.026,0.0034,NA,0.93,NA,Spain,
B41,Dasypoda,Dasypoda iberica,Male,Huelva,29/4/2016,2.529,0.0408,0.0044,NA,1.3,0.443,Spain,
B42,Nomada,Nomada merceti,Female,Huelva,29/4/2016,1.541,0.0113,0.0025,NA,1.04,0.305,Spain,
B43,Nomada,Nomada merceti,Male,Huelva,29/4/2016,1.444,0.0081,0.0018,NA,NA,NA,Spain,
B44,Nomada,Nomada merceti,Male,Huelva,29/4/2016,1.627,0.0106,0.0016,NA,NA,NA,Spain,
B45,Nomada,Nomada discrepans,Male,Huelva,29/4/2016,1.236,0.068,0.0013,NA,0.25,NA,Spain,
B46,Panurgus,Panurgus dargius,Male,Huelva,29/4/2016,2.023,0.0207,0.0031,NA,NA,0.337,Spain,
B47,Panurgus,Panurgus dargius,Male,Huelva,29/4/2016,1.558,0.0089,0.0012,NA,0.33,0.19,Spain,
B48,Panurgus,Panurgus dargius,Male,Huelva,29/4/2016,1.851,0.0208,0.0032,NA,0.68,NA,Spain,
B49,Megascolia,Megascolia sp.,Male,Huelva,19/5/2015,5.474,0.4074,0.046,Ground,4.69,2.633,Spain,
B5,Rhodanthidium,Rhodanthidium sticticum,Male,Huelva,21/4/2016,3.412,NA,NA,NA,2.35,0.878,Spain,
B50,Xylocopa,Xylocopa cantabrita,Female,Huelva,19/5/2015,5.938,0.3612,0.046,NA,6.66,NA,Spain,
B51,Nomada,Nomada merceti,Female,Huelva,19/5/2015,1.343,0.0113,0.0016,Ground,0.32,0.113,Spain,
B52,Nomada,Nomada merceti,Female,Huelva,19/5/2015,1.415,0.013,0.0022,Ground,0.73,0.235,Spain,
B53,Dasypoda,Dasypoda sp.,Male,Huelva,19/5/2015,2.406,0.0441,0.0055,Halimiun halimifolium,1.5,0.577,Spain,
B54,Flavipanurgus,Flavipanurgus venustus,Female,Huelva,19/5/2015,1.874,0.0203,0.0036,Cistus crispus,0.62,NA,Spain,
B55,Flavipanurgus,Flavipanurgus venustus,Male,Huelva,19/5/2015,1.833,0.0206,0.0033,Cistus crispus,0.92,0.288,Spain,
B56,Xylocopa,Xylocopa cantabrita,Female,Huelva,19/5/2015,5.439,0.3394,0.0445,Silene spp,4.43,1.629,Spain,
B57,Nomada,Nomada merceti,Female,Huelva,19/5/2015,1.474,0.0159,0.0026,Ground,NA,NA,Spain,
B58,Andrena,NA,Female,Huelva,19/5/2015,2.285,0.1214,0.017,Zapsia,1.84,0.935,Spain,
B59,Xylocopa,Xylocopa cantabrita,Female,Huelva,19/5/2015,5.136,0.3244,0.0477,Cistus crispus,4.58,1.248,Spain,
B6,Andrena,NA,Male,Huelva,21/4/2016,1.854,NA,NA,Cistus salvifolius,0.73,0.3,Spain,
B60,Halictus,Halictus sp.,Female,Huelva,19/5/2015,2.467,0.0535,0.0066,Cistus crispus,1.2,0.569,Spain,
B61,Bombus,Bombus terrestris,Female,Hinojos,03/06/15,4.713,0.2779,0.0257,Psoralea vituminosa,3.59,1.809,Spain,
B62,Bombus,Bombus terrestris,Female,Hinojos,03/06/15,4.5,0.2288,0.022,Ononis spp,3.09,1.876,Spain,
B63,Xylocopa,Xylocopa valga,Female,Hinojos,03/06/15,7.593,0.7588,0.0944,Psoralea vituminosa,7.43,2.069,Spain,
B64,Bombus,Bombus terrestris,Female,Hinojos,03/06/15,4.383,0.1755,0.0215,Psoralea vituminosa,NA,NA,Spain,
B65,Nomada,NA,NA,Hinojos,03/06/15,1.462,0.0113,0.0017,Ground,0.73,0.214,Spain,
B66,Nomada,NA,NA,Hinojos,03/06/15,1.482,0.111,0.003,Ground,0.48,NA,Spain,
B67,NA,NA,NA,Hinojos,03/06/15,2.003,0.0291,0.0046,Ground,NA,NA,Spain,
B68,Nomada,NA,NA,Hinojos,03/06/15,1.457,0.014,0.0036,Ground,0.6,NA,Spain,
B69,NA,NA,NA,Hinojos,03/06/15,2.011,0.0333,0.0045,Ground,1.04,0.45,Spain,
B7,Osmia,NA,Female,Huelva,21/4/2016,2.926,NA,NA,NA,1.96,0.81,Spain,
B70,NA,NA,NA,Hinojos,03/06/15,2.104,0.028,0.003,Ground,0.86,0.28,Spain,
B71,Eucera,Eucera elongatula,Female,Hinojos,03/06/15,2.931,0.0558,0.0077,Ground,1.95,1.225,Spain,
B72,Bombus,Bombus terrestris,Female,Hinojos,03/06/15,3.95,0.1259,0.0126,Psoralea vituminosa,2.26,1.401,Spain,
B73,NA,NA,NA,Hinojos,03/06/15,1.82,0.02,0.0024,Ground,1.69,NA,Spain,
B74,Hoplitis,Hoplitis papaveris,Male,Hinojos,03/06/15,2.622,NA,NA,NA,NA,NA,Spain,
B75,Hoplitis,Hoplitis papaveris,Male,Hinojos,03/06/15,2.656,NA,NA,NA,1.17,0.538,Spain,
B76,Hoplitis,Hoplitis papaveris,Male,Hinojos,03/06/15,2.305,NA,NA,NA,NA,NA,Spain,
B77,Hoplitis,Hoplitis papaveris,Male,Hinojos,03/06/15,2.584,NA,NA,NA,NA,NA,Spain,
B78,Apis,Apis mellifera,Female,Alcalá del río,03/11/16,2.995,0.0713,0.0081,Yedra,1.603,0.78,Spain,
B79,Apis,Apis mellifera,Female,Alcalá del río,03/10/16,2.741,0.0702,0.0088,Yedra,1.6,NA,Spain,
B8,Andrena,NA,Male,Huelva,21/4/2016,1.427,NA,NA,NA,0.5,0.371,Spain,
B80,Apis,Apis mellifera,Female,Alcalá del río,03/10/16,2.947,0.0676,0.0088,Yedra,NA,NA,Spain,
B81,Apis,Apis mellifera,Female,Alcalá del río,03/11/16,2.89,0.0738,0.0073,Yedra,NA,NA,Spain,
B82,Apis,Apis mellifera,Female,Alcalá del río,03/10/16,2.845,0.0679,0.0082,Yedra,1.64,NA,Spain,
B83,Apis,Apis mellifera,Female,Alcalá del río,03/10/16,2.943,0.0878,0.0118,Yedra,1.89,0.49,Spain,
B84,Apis,Apis mellifera,Female,Alcalá del río,03/11/16,3.041,0.066,0.0096,Yedra,NA,NA,Spain,
B85,Apis,Apis mellifera,Female,Alcalá del río,03/10/16,2.978,0.0784,0.0086,Yedra,NA,NA,Spain,
B86,Apis,Apis mellifera,Female,Alcalá del río,03/10/16,3.073,0.0717,0.0092,Yedra,NA,NA,Spain,
B87,Apis,Apis mellifera,Female,Alcalá del río,03/11/16,3.096,0.0675,0.0075,Yedra,1.64,0.79,Spain,
B88,Apis,Apis mellifera,Female,Alcalá del río,03/10/16,3.031,0.0897,0.0105,Yedra,NA,NA,Spain,
B89,Apis,Apis mellifera,Female,Alcalá del río,03/10/16,3.138,NA,NA,Yedra,1.6,NA,Spain,
B9,Andrena,Andrena flavipes,Female,Huelva,21/4/2016,2.946,NA,NA,NA,1.16,NA,Spain,
B90,Apis,Apis mellifera,Female,Alcalá del río,03/10/16,2.878,0.066,0.0081,Yedra,NA,NA,Spain,
B91,Apis,Apis mellifera,Female,Alcalá del río,03/11/16,NA,NA,NA,Yedra,NA,NA,Spain,
C1,Osmia,Osmia bicornis,Female,Carambolo,14/4/2016,3.451,NA,NA,NA,NA,NA,Spain,
C10,Amegilla,Amegilla quadrifasciata,Female,Esquivel,22/9/2016,3.764,0.1475,0.0177,Lantana camara,4.06,1.801,Spain,
C11,Amegilla,Amegilla quadrifasciata,Female,Esquivel,22/9/2016,3.831,0.1251,0.0169,Lantana camara,3.94,1.301,Spain,
C12,Amegilla,Amegilla quadrifasciata,Female,Esquivel,22/9/2016,3.934,0.148,0.0193,Lantana camara,4.55,1.47,Spain,
C13,Amegilla,Amegilla quadrifasciata,Female,Esquivel,22/9/2016,3.97,0.1329,0.0169,Lantana camara,4.01,1.47,Spain,
C14,Amegilla,Amegilla quadrifasciata,Female,Esquivel,22/9/2016,4.095,0.1257,0.0171,Lantana camara,4.2,1.676,Spain,
C15,Amegilla,Amegilla quadrifasciata,Female,Esquivel,22/9/2016,3.976,0.1516,0.018,Lantana camara,NA,NA,Spain,
C16,Amegilla,Amegilla quadrifasciata,Female,Esquivel,22/9/2016,3.627,0.1012,0.0123,Lantana camara,3.31,1.354,Spain,
C17,Amegilla,Amegilla quadrifasciata,Female,Esquivel,03/10/16,3.828,0.1174,0.0146,Lantana camara,3.86,1.145,Spain,
C18,Amegilla,Amegilla quadrifasciata,Female,Esquivel,03/10/16,3.74,0.1011,0.0138,Lantana camara,3.48,1.202,Spain,
C2,Osmia,Osmia caerulescens,Female,Carambolo,14/4/2016,2.868,NA,NA,NA,NA,NA,Spain,
C3,Osmia,Osmia caerulescens,Male,Carambolo,14/4/2016,2.719,NA,NA,NA,1.53,0.572,Spain,
C4,Osmia,NA,Female,Carambolo,26/4/2016,3.063,0.0625,NA,NA,NA,NA,Spain,
C5,Hoplitis,Hoplitis adunca,Female,Carambolo,26/4/2017,2.985,0.063,NA,NA,NA,NA,Spain,
C6,Systropha,Systropha planidens,Female,Carambolo,26/4/2018,2.405,0.0441,NA,NA,0.92,0.713,Spain,
C7,Lasioglossum,Lasioglossum immunitum,Female,Carambolo,26/4/2019,1.354,0.0116,NA,NA,0.68,0.337,Spain,
C8,Osmia,Osmia submicans,Female,Carambolo,26/4/2020,2.256,0.0239,NA,NA,NA,NA,Spain,
C9,Anthidium,Anthidium manicatum,Male,Carambolo,14/9/2016,3.369,0.0795,0.012,,NA,NA,Spain,
F1,Anthophora,Anthophora bimaculata,Male,Alba de Tormes,23/8/2016,2.419,0.0224,0.0073,,NA,NA,Spain,
F10,Megachile,Megachile rotundata,Female,Alba de Tormes,23/8/2016,2.527,0.0179,0.0032,,NA,NA,Spain,
F11,Lithurgus,Lithurgus cornutus,Female,Alba de Tormes,23/8/2016,4.068,0.0855,0.22,Senecio,NA,NA,Spain,
F12,Anthidium,Anthidium manicatum,Female,Arévalo,23/8/2016,3.15,0.0662,0.015,Epilobium hirsutum,2.66,NA,Spain,
F13,Anthidium,Anthidium florentinum,Female,Arévalo,23/8/2016,4.254,0.2281,0.0249,Senecio,4.46,1.298,Spain,
F14,Megachile,Megachile centuncularis,Female,Alba de Tormes,23/8/2016,3.073,0.0503,0.0111,,1.16,NA,Spain,
F15,Bombus,Bombus muscorum,Female,Arévalo,23/8/2016,4.044,0.1316,0.0156,Medicago sativa,2.02,1.106,Spain,
F16,Anthidium,Anthidium manicatum,Female,Alba de Tormes,23/8/2016,2.903,0.0716,0.123,,2.3,NA,Spain,
F17,Anthidium,Anthidium manicatum,Female,Alba de Tormes,23/8/2016,2.365,0.0303,NA,,1.67,NA,Spain,
F18,Heriades,Heriades rubicola,Female,Alba de Tormes,23/8/2016,1.229,0.0061,0.0019,,0.42,0.153,Spain,
F19,Colletes,Colletes hylaeiformis,Male,Alba de Tormes,23/8/2016,2.311,0.0152,0.0029,,1.35,0.761,Spain,
F2,Anthidium,Anthidium oblongatum,Male,Alba de Tormes,23/8/2016,2.624,0.0437,0.0102,Lotus amarilla,1.52,0.683,Spain,
F20,Halictus,Halictus quadricinctus,Male,Alba de Tormes,23/8/2016,2.895,0.097,0.0148,,1.55,0.665,Spain,
F21,Anthidium,Anthidium manicatum,Female,Arévalo,23/8/2016,3.066,0.0592,0.0096,,2.02,0.44,Spain,
F22,Bombus,Bombus muscorum,Female,Arévalo,23/8/2016,3.727,0.1288,0.0135,,2.16,1.37,Spain,
F23,Anthidium,Anthidium manicatum,Female,Alba de Tormes,23/8/2016,3.495,0.0903,0.02,Epilobium hirsutum,NA,NA,Spain,
F24,Bombus,Bombus muscorum,Female,Arévalo,23/8/2016,4.172,0.1259,0.0168,Epilobium hirsutum,2.7,NA,Spain,
F25,Bombus,Bombus muscorum,Female,Arévalo,23/8/2016,3.585,0.1251,0.0159,Medicago sativa,3.67,1.811,Spain,
F26,Anthidium,Anthidium florentinum,Male,Arévalo,23/8/2016,4.36,0.2763,0.03,Epilobium hirsutum,4.91,NA,Spain,
F27,Xylocopa,Xylocopa violacea,Male,Alba de Tormes,23/8/2016,6.549,0.4828,0.0452,Epilobium hirsutum,9.06,1.92,Spain,
F28,Anthidium,Anthidium manicatum,Female,Alba de Tormes,23/8/2016,2.71,0.0366,0.0093,,1.11,NA,Spain,
F29,Andrena,Andrena albopunctata,Female,Fontiveros,01/09/16,NA,NA,NA,,NA,NA,Spain,
F3,Anthidium,Anthidium oblongatum,Male,Alba de Tormes,23/8/2016,2.643,0.0473,0.0095,Lotus amarilla,2.02,0.762,Spain,
F30,Andrena,Andrena agilissima,Female,Fontiveros,01/09/16,2.937,NA,NA,,NA,NA,Spain,
F31,Andrena,Andrena morio,Female,Fontiveros,01/09/16,3.04,NA,NA,,0.55,NA,Spain,
F32,Megascolia,Megascolia bidens,Female,Fontiveros,01/09/16,NA,NA,NA,,NA,NA,Spain,
F33,Dasypoda,Dasypoda visnaga,Female,Fontiveros,01/09/16,3.247,NA,NA,,0.11,NA,Spain,
F34,Halictus,Halictus scabiosae,Female,Fontiveros,01/09/16,2.515,NA,NA,,NA,2.48,Spain,
F35,Halictus,Halictus scabiosae,Female,Fontiveros,01/09/16,2.133,NA,NA,,NA,NA,Spain,
F36,Dasypoda,Dasypoda hirtipes,Female,Fontiveros,01/09/16,2.957,NA,NA,,0.47,NA,Spain,
F37,Dasypoda,Dasypoda hirtipes,Female,Fontiveros,01/09/16,3.001,NA,NA,,NA,NA,Spain,
F38,Panurgus,Panurgus banksianus,Female,Fontiveros,01/09/16,2.379,NA,NA,,1.63,1.545,Spain,
F4,Anthophora,Anthophora bimaculata,Male,Alba de Tormes,23/8/2016,2.82,0.0248,0.004,,1.48,NA,Spain,
F5,Bombus,Bombus muscorum,Female,Alba de Tormes,23/8/2016,3.997,0.1326,0.0143,,1.7,0.891,Spain,
F6,Bombus,Bombus muscorum,Female,Alba de Tormes,23/8/2016,3.606,0.1258,NA,,1.85,0.948,Spain,
F7,Bombus,Bombus muscorum,Female,Alba de Tormes,23/8/2016,3.659,0.1029,0.0147,,1.87,1.295,Spain,
F8,Bombus,Bombus muscorum,Female,Alba de Tormes,23/8/2016,4.05,0.1427,0.0145,,1.9,1.328,Spain,
F9,Bombus,Bombus muscorum,Female,Alba de Tormes,23/8/2016,3.465,0.1058,0.0119,,1.77,1.028,Spain,
H1,Andrena,Andrena fulva,Female,Wahlwiller,,2.8,NA,NA,,NA,NA,Netherlands,
H10,Andrena,Andrena tibialis,Female,Maastricht,,2.92,NA,NA,,NA,NA,Netherlands,
H100,Andrena,Andrena dorsata,Female,Eijsden. Caestert Beemden,,2.4,NA,NA,Alliaria petiolata,0.588,0.315,Netherlands,
H101,Lasioglossum,Lasioglossum calceatum,Female,Eijsden. Caestert Beemden,,2.25,NA,NA,Veronica chamaedrys,0.773,0.316,Netherlands,
H102,Lasioglossum,Lasioglossum calceatum,Female,Eijsden. Caestert Beemden,,2.3,NA,NA,Veronica chamaedrys,0.663,NA,Netherlands,
H103,Anthophora,Anthophora plumipes,Female,Eijsden. Caestert Beemden,,NA,NA,NA,,NA,NA,Netherlands,
H104,Anthophora,Anthophora plumipes,Female,Eijsden. Caestert Beemden,,NA,NA,NA,,3.712,0.84,Netherlands,
H105,Anthophora,Anthophora plumipes,Female,Eijsden. Caestert Beemden,,NA,NA,NA,,4.786,NA,Netherlands,
H106,Andrena,Andrena cineraria,Female,Eijsden. Caestert Beemden,,3.29,NA,NA,,NA,NA,Netherlands,
H107,Bombus,Bombus hortorum,Female,Eijsden. Caestert Beemden,,NA,NA,NA,,NA,NA,Netherlands,
H108,Bombus,Bombus hortorum,Female,Eijsden. Caestert Beemden,,NA,NA,NA,,2.334,1.387,Netherlands,
H109,Bombus,Bombus hypnorum,Female,Eijsden. Caestert Beemden,,NA,NA,NA,,2.947,1.645,Netherlands,
H11,Andrena,Andrena tibialis,Female,Maastricht,,2.96,NA,NA,,NA,NA,Netherlands,
H110,Bombus,Bombus hypnorum,Female,Eijsden. Caestert Beemden,,NA,NA,NA,,3.277,NA,Netherlands,
H111,Bombus,Bombus hypnorum,Female,Eijsden. Caestert Beemden,,NA,NA,NA,,2.522,1.503,Netherlands,
H112,Andrena,Andrena tibialis,Female,Nunspeet,,3.57,NA,NA,,1.357,0.758,Netherlands,
H113,Lasioglossum,Lasioglossum punctatissimum,Female,Berg. Curfsgroeve,,1.55,NA,NA,Fragaria vesca,0.335,0.181,Netherlands,
H114,Lasioglossum,Lasioglossum punctatissimum,Female,Berg. Curfsgroeve,,1.51,NA,NA,Fragaria vesca,0.371,0.157,Netherlands,
H115,Lasioglossum,Lasioglossum zonulum,Female,Berg. Curfsgroeve,,2.17,NA,NA,,0.64,0.282,Netherlands,
H116,Lasioglossum,Lasioglossum leucozonium,Female,Berg. Curfsgroeve,,2.35,NA,NA,,0.672,0.385,Netherlands,
H117,Andrena,Andrena nigroaenea,Female,Berg. Curfsgroeve,,3.68,NA,NA,,1.678,0.78,Netherlands,
H118,Andrena,Andrena nitida,Female,Berg. Curfsgroeve,,3.42,NA,NA,,1.612,0.736,Netherlands,
H119,Andrena,Andrena cineraria,Female,Berg. Curfsgroeve,,3.42,NA,NA,Veronica chamaedrys,1.492,0.74,Netherlands,
H12,Andrena,Andrena gravida,Female,Maastricht,,2.44,NA,NA,,NA,NA,Netherlands,
H120,Halictus,Halictus rubicundus,Female,Berg. Curfsgroeve,,2.8,NA,NA,,1.06,0.535,Netherlands,
H121,Andrena,Andrena labiata,Female,Berg. Curfsgroeve,,2.35,NA,NA,Fragaria vesca,0.629,0.331,Netherlands,
